127.0.0.1 - - [09/Apr/2024:09:57:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2024:09:57:15 +0530] "GET /LogFetcher/WEB-INF/classes/com/servlets/logFetcher.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Apr/2024:09:57:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2024:09:57:42 +0530] "GET /LogFetcher/logFetcher HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:00:33 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:00:34 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:01:34 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:01:35 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:03:02 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:03:02 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:04:39 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:04:39 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:05:27 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:05:28 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:07:17 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:07:17 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:08:38 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:08:38 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:13:45 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:13:45 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
